"Variables","Importance","Boruta1","Boruta2"
"X3.69_423.9453m.z",0.02,0,0
"X3.69_585.1788m.z",0.02,0,0
"X3.53_580.2215m.z",0.03,0,0
"X4.05_323.1789m.z",0.05,0,0
"X4.06_300.2669m.z",0.02,0,0
"X4.03_199.0886n",0.05,0,0
"X3.99_85.0279m.z",0.02,0,0
"X3.98_340.1879m.z",0.06,0,0
"X4.02_139.1123m.z",0.04,0,0
"X4.12_101.0594m.z",0.1,0,0
"X4.09_269.9601m.z",0.02,0,0
"X4.12_146.1171m.z",0.06,0,0
"X4.12_325.1886n",0.05,0,0
"X4.12_146.1509m.z",0.1,0,0
"X4.12_326.3340m.z",0.04,0,0
"X3.80_126.0658m.z",0.62,1,1
"X3.82_124.9861m.z",0.03,0,0
"X3.74_249.0860n",0.11,0,0
"X3.94_405.3321m.z",0.03,0,0
"X3.95_303.2871m.z",0,0,0
"X3.87_407.0966m.z",0.03,0,0
"X3.86_155.1172m.z",0.06,0,0
"X3.89_388.1883m.z",0.01,0,0
"X0.69_337.0566n",0.02,0,0
"X1.23_309.1777m.z",0.01,0,0
"X5.89_231.2854m.z",0.01,0,0
"X1.30_313.1730m.z",0.14,0,0
"X5.86_527.2784m.z",0.04,0,0
"X1.34_155.0422m.z",0.07,0,0
"X5.86_134.1647n",0.04,0,0
"X1.27_274.0368n",0.06,0,0
"X1.27_144.0654m.z",0.01,0,0
"X1.27_126.0543m.z",0.01,0,0
"X0.76_646.2627m.z",0.02,0,0
"X6.00_159.1838m.z",0.03,0,0
"X0.86_242.0219m.z",0.06,0,0
"X0.86_448.1315m.z",0.06,0,0
"X0.90_204.0860m.z",0.04,0,0
"X0.90_226.0690m.z",0.02,0,0
"X0.88_423.0915n",0.05,0,0
"X5.94_147.1122m.z",0.03,0,0
"X1.04_191.1071m.z",0.13,0,0
"X0.75_172.1245n",0.33,0,1
"X6.00_83.0486m.z",0.03,0,0
"X1.03_114.0909m.z",0.02,0,0
"X1.08_218.1368m.z",0.24,0,1
"X1.66_67.0543n",0.12,0,0
"X1.67_383.1365m.z",0.07,0,0
"X1.71_143.0803m.z",1.39,1,1
"X1.73_595.3715n",0.06,0,0
"X1.82_258.0019m.z",0.15,0,0
"X1.72_616.3453m.z",0.16,0,1
"X1.44_379.0702m.z",0.04,0,0
"X1.37_187.1602n",0.04,0,0
"X5.83_342.2013m.z",1.31,1,1
"X1.40_572.2679m.z",0.26,0,1
"X5.85_513.2971m.z",0.06,0,0
"X5.85_255.1383n",0.03,0,0
"X1.39_136.0750m.z",0.02,0,0
"X3.20_179.0363m.z",0.04,0,0
"X2.74_423.3050m.z",0.02,0,0
"X1.05_186.0789n",0.07,0,0
"X2.03_112.0501m.z",0.23,0,1
"X6.01_84.0802m.z",0.07,0,0
"X4.63_204.1693m.z",0.03,0,0
"X4.01_224.0317m.z",0,0,0
"X3.11_294.0522m.z",0.05,0,0
"X5.97_615.2989m.z",0.05,0,0
"X5.77_233.1481m.z",0.01,0,0
"X2.34_223.0519n",0.1,0,0
"X1.05_371.1302n",0.01,0,0
"X5.92_158.1268m.z",0.02,0,0
"X2.36_349.1109m.z",0.02,0,0
"X0.72_257.0391m.z",0.02,0,0
"X4.32_132.1014m.z",0.01,0,0
"X1.25_279.0151m.z",0.02,0,0
"X3.09_245.0313m.z",0.02,0,0
"X1.25_190.1053m.z",0.03,0,0
"X6.00_159.1487m.z",0.03,0,0
"X5.59_324.1904m.z",0.03,0,0
"X3.80_258.1087m.z",0.5,0,1
"X2.04_174.0545m.z",0.02,0,0
"X1.27_272.1482m.z",0.01,0,0
"X1.91_160.0963m.z",0.04,0,0
"X5.36_553.2936m.z",0.04,0,0
"X5.51_201.1698m.z",0.15,0,1
"X1.66_237.1843m.z",0.02,0,0
"X3.18_130.0498m.z",0.05,0,0
"X1.29_150.0765m.z",0.02,0,0
"X4.37_305.2115m.z",0.02,0,0
"X1.79_86.0596m.z",0.03,0,0
"X4.01_260.0552m.z",0.03,0,0
"X4.46_145.1328m.z",0.02,0,0
"X4.03_299.2101n",0.03,0,0
"X1.08_329.1916m.z",0.08,0,0
"X1.71_279.1823m.z",0.04,0,0
"X2.73_423.1460m.z",0.02,0,0
"X6.00_100.0752m.z",0.01,0,0
"X5.51_212.1240n",0.09,0,1
"X2.70_351.1253m.z",0.02,0,0
"X2.22_112.0501m.z",0.03,0,0
"X6.00_191.1383m.z",0.02,0,0
