"set","nr","mtry","oob"
"df4_d",2,290,0.0474576271186441
"df4_d",3,290,0.0440677966101695
"df4_d",4,290,0.0440677966101695
"df4_d",5,290,0.0440677966101695
"df4_d",6,290,0.0406779661016949
"df4_d",7,290,0.0372881355932203
"df4_d",8,290,0.0474576271186441
"df4_d",9,290,0.0474576271186441
"df4_d",10,290,0.0508474576271186
"df4_d",1,300,0.0440677966101695
"df4_d",2,300,0.0474576271186441
"df4_d",3,300,0.0440677966101695
"df4_d",4,300,0.0440677966101695
"df4_d",5,300,0.0474576271186441
"df4_d",6,300,0.0474576271186441
"df4_d",7,300,0.0474576271186441
"df4_d",8,300,0.0440677966101695
"df4_d",9,300,0.0542372881355932
"df4_d",10,300,0.0440677966101695
"df4_d",1,310,0.0406779661016949
"df4_d",2,310,0.0508474576271186
"df4_d",3,310,0.0440677966101695
"df4_d",4,310,0.0542372881355932
"df4_d",5,310,0.0474576271186441
"df4_d",6,310,0.0440677966101695
"df4_d",7,310,0.0474576271186441
"df4_d",8,310,0.0440677966101695
"df4_d",9,310,0.0474576271186441
"df4_d",10,310,0.0508474576271186
"df4_d",1,320,0.0440677966101695
"df4_d",2,320,0.0542372881355932
"df4_d",3,320,0.0440677966101695
"df4_d",4,320,0.0474576271186441
"df4_d",5,320,0.0406779661016949
"df4_d",6,320,0.0440677966101695
"df4_d",7,320,0.0508474576271186
"df4_d",8,320,0.0440677966101695
"df4_d",9,320,0.0474576271186441
"df4_d",10,320,0.0406779661016949
"df4_d",1,330,0.0542372881355932
"df4_d",2,330,0.0508474576271186
"df4_d",3,330,0.0508474576271186
"df4_d",4,330,0.0406779661016949
"df4_d",5,330,0.0508474576271186
"df4_d",6,330,0.0474576271186441
"df4_d",7,330,0.0474576271186441
"df4_d",8,330,0.0440677966101695
"df4_d",9,330,0.0542372881355932
"df4_d",10,330,0.0440677966101695
"df4_d",1,340,0.0474576271186441
"df4_d",2,340,0.0474576271186441
"df4_d",3,340,0.0406779661016949
"df4_d",4,340,0.0508474576271186
"df4_d",5,340,0.0542372881355932
"df4_d",6,340,0.0508474576271186
"df4_d",7,340,0.0440677966101695
"df4_d",8,340,0.0508474576271186
"df4_d",9,340,0.0474576271186441
"df4_d",10,340,0.0440677966101695
"df4_d",1,350,0.0508474576271186
"df4_d",2,350,0.0508474576271186
"df4_d",3,350,0.0508474576271186
"df4_d",4,350,0.0508474576271186
"df4_d",5,350,0.0474576271186441
"df4_d",6,350,0.0406779661016949
"df4_d",7,350,0.0474576271186441
"df4_d",8,350,0.0508474576271186
"df4_d",9,350,0.0508474576271186
"df4_d",10,350,0.0576271186440678
"df4_d",1,360,0.0508474576271186
"df4_d",2,360,0.0474576271186441
"df4_d",3,360,0.0474576271186441
"df4_d",4,360,0.0508474576271186
"df4_d",5,360,0.0542372881355932
"df4_d",6,360,0.0542372881355932
"df4_d",7,360,0.0508474576271186
"df4_d",8,360,0.0508474576271186
"df4_d",9,360,0.0440677966101695
"df4_d",10,360,0.0474576271186441
"df4_d",1,370,0.0474576271186441
"df4_d",2,370,0.0474576271186441
"df4_d",3,370,0.0474576271186441
"df4_d",4,370,0.0542372881355932
"df4_d",5,370,0.0440677966101695
"df4_d",6,370,0.0474576271186441
"df4_d",7,370,0.0440677966101695
"df4_d",8,370,0.0508474576271186
"df4_d",9,370,0.0542372881355932
"df4_d",10,370,0.0508474576271186
"df4_d",1,380,0.0644067796610169
"df4_d",2,380,0.0542372881355932
"df4_d",3,380,0.0474576271186441
"df4_d",4,380,0.0542372881355932
"df4_d",5,380,0.0508474576271186
"df4_d",6,380,0.0542372881355932
"df4_d",7,380,0.0440677966101695
"df4_d",8,380,0.0474576271186441
"df4_d",9,380,0.0576271186440678
"df4_d",10,380,0.0508474576271186
"df4_d",1,390,0.0576271186440678
"df4_d",2,390,0.0508474576271186
"df4_d",3,390,0.0542372881355932
"df4_d",4,390,0.0542372881355932
"df4_d",5,390,0.0542372881355932
"df4_d",6,390,0.0508474576271186
"df4_d",7,390,0.0542372881355932
"df4_d",8,390,0.0542372881355932
"df4_d",9,390,0.0508474576271186
"df4_d",10,390,0.0542372881355932
"df4_d",1,400,0.0508474576271186
"df4_d",2,400,0.0508474576271186
"df4_d",3,400,0.0576271186440678
"df4_d",4,400,0.0542372881355932
"df4_d",5,400,0.0474576271186441
"df4_d",6,400,0.0542372881355932
"df4_d",7,400,0.0542372881355932
"df4_d",8,400,0.0542372881355932
"df4_d",9,400,0.0474576271186441
"df4_d",10,400,0.0576271186440678
"df4_d",1,410,0.0474576271186441
"df4_d",2,410,0.0576271186440678
"df4_d",3,410,0.0508474576271186
"df4_d",4,410,0.0508474576271186
"df4_d",5,410,0.0474576271186441
"df4_d",6,410,0.0508474576271186
"df4_d",7,410,0.0576271186440678
"df4_d",8,410,0.0610169491525424
"df4_d",9,410,0.0542372881355932
"df4_d",10,410,0.0542372881355932
"df4_d",1,420,0.0440677966101695
"df4_d",2,420,0.0440677966101695
"df4_d",3,420,0.0576271186440678
"df4_d",4,420,0.0576271186440678
"df4_d",5,420,0.0542372881355932
"df4_d",6,420,0.0440677966101695
"df4_d",7,420,0.0474576271186441
"df4_d",8,420,0.0474576271186441
"df4_d",9,420,0.0542372881355932
"df4_d",10,420,0.0474576271186441
"df4_d",1,430,0.0576271186440678
"df4_d",2,430,0.0542372881355932
"df4_d",3,430,0.0440677966101695
"df4_d",4,430,0.0542372881355932
"df4_d",5,430,0.0542372881355932
"df4_d",6,430,0.0542372881355932
"df4_d",7,430,0.0508474576271186
"df4_d",8,430,0.0576271186440678
"df4_d",9,430,0.0542372881355932
"df4_d",10,430,0.0542372881355932
"df4_d",1,440,0.0542372881355932
"df4_d",2,440,0.0542372881355932
"df4_d",3,440,0.0576271186440678
"df4_d",4,440,0.0542372881355932
"df4_d",5,440,0.0576271186440678
"df4_d",6,440,0.0508474576271186
"df4_d",7,440,0.0610169491525424
"df4_d",8,440,0.0576271186440678
"df4_d",9,440,0.0542372881355932
"df4_d",10,440,0.0542372881355932
"df4_d",1,450,0.0610169491525424
"df4_d",2,450,0.0542372881355932
"df4_d",3,450,0.0508474576271186
"df4_d",4,450,0.0508474576271186
"df4_d",5,450,0.0610169491525424
"df4_d",6,450,0.0474576271186441
"df4_d",7,450,0.0542372881355932
"df4_d",8,450,0.0474576271186441
"df4_d",9,450,0.0576271186440678
"df4_d",10,450,0.0542372881355932
"df4_d",1,460,0.0542372881355932
"df4_d",2,460,0.0542372881355932
"df4_d",3,460,0.0474576271186441
"df4_d",4,460,0.0610169491525424
"df4_d",5,460,0.0610169491525424
"df4_d",6,460,0.0542372881355932
"df4_d",7,460,0.0576271186440678
"df4_d",8,460,0.0610169491525424
"df4_d",9,460,0.0508474576271186
"df4_d",10,460,0.0542372881355932
"df4_d",1,470,0.0576271186440678
"df4_d",2,470,0.0508474576271186
"df4_d",3,470,0.0542372881355932
"df4_d",4,470,0.0542372881355932
"df4_d",5,470,0.0576271186440678
"df4_d",6,470,0.0576271186440678
"df4_d",7,470,0.0576271186440678
"df4_d",8,470,0.0610169491525424
"df4_d",9,470,0.0610169491525424
"df4_d",10,470,0.0474576271186441
"df4_d",1,480,0.0576271186440678
"df4_d",2,480,0.0508474576271186
"df4_d",3,480,0.0576271186440678
"df4_d",4,480,0.0542372881355932
"df4_d",5,480,0.0576271186440678
"df4_d",6,480,0.0576271186440678
"df4_d",7,480,0.0576271186440678
"df4_d",8,480,0.0542372881355932
"df4_d",9,480,0.0542372881355932
"df4_d",10,480,0.0542372881355932
"df4_d",1,490,0.0576271186440678
"df4_d",2,490,0.0542372881355932
"df4_d",3,490,0.0508474576271186
"df4_d",4,490,0.0610169491525424
"df4_d",5,490,0.0610169491525424
"df4_d",6,490,0.0542372881355932
"df4_d",7,490,0.0508474576271186
"df4_d",8,490,0.0474576271186441
"df4_d",9,490,0.0508474576271186
"df4_d",10,490,0.0542372881355932
"df4_d",1,500,0.0576271186440678
"df4_d",2,500,0.0610169491525424
"df4_d",3,500,0.0474576271186441
"df4_d",4,500,0.0576271186440678
"df4_d",5,500,0.0542372881355932
"df4_d",6,500,0.0542372881355932
"df4_d",7,500,0.0474576271186441
"df4_d",8,500,0.0542372881355932
"df4_d",9,500,0.0576271186440678
"df4_d",10,500,0.0610169491525424
"df4_d",1,510,0.0542372881355932
"df4_d",2,510,0.0542372881355932
"df4_d",3,510,0.0542372881355932
"df4_d",4,510,0.0576271186440678
"df4_d",5,510,0.0576271186440678
